{'rouge1': 24.4209, 'rouge2': 15.8303, 'rougeL': 23.2228, 'rougeLsum': 23.3068, 'exact_match': 0.0539, 'gen_len': 11.8623}
{'rouge1': 26.7793, 'rouge2': 18.6857, 'rougeL': 26.0385, 'rougeLsum': 26.2056, 'exact_match': 0.0659, 'gen_len': 11.8024}
{'rouge1': 26.0913, 'rouge2': 17.0562, 'rougeL': 25.4545, 'rougeLsum': 25.4781, 'exact_match': 0.0599, 'gen_len': 11.5808}
{'rouge1': 25.9177, 'rouge2': 17.3639, 'rougeL': 25.5314, 'rougeLsum': 25.5839, 'exact_match': 0.0599, 'gen_len': 11.3593}
{'rouge1': 25.1682, 'rouge2': 17.0978, 'rougeL': 24.6207, 'rougeLsum': 24.6417, 'exact_match': 0.0659, 'gen_len': 11.5449}
{'rouge1': 25.7916, 'rouge2': 17.572, 'rougeL': 25.0287, 'rougeLsum': 25.0778, 'exact_match': 0.0719, 'gen_len': 11.3593}
{'rouge1': 26.0239, 'rouge2': 17.4644, 'rougeL': 25.3006, 'rougeLsum': 25.4507, 'exact_match': 0.0599, 'gen_len': 11.3952}
{'rouge1': 25.6371, 'rouge2': 16.9303, 'rougeL': 24.8816, 'rougeLsum': 24.8948, 'exact_match': 0.0719, 'gen_len': 11.012}
{'rouge1': 26.25, 'rouge2': 17.9278, 'rougeL': 25.4878, 'rougeLsum': 25.5094, 'exact_match': 0.0778, 'gen_len': 11.1677}
{'rouge1': 25.1054, 'rouge2': 15.8634, 'rougeL': 24.1431, 'rougeLsum': 24.2293, 'exact_match': 0.0539, 'gen_len': 11.2754}
{'rouge1': 24.6594, 'rouge2': 15.7889, 'rougeL': 23.887, 'rougeLsum': 23.9118, 'exact_match': 0.0539, 'gen_len': 11.0958}
{'rouge1': 25.8405, 'rouge2': 17.0672, 'rougeL': 25.1439, 'rougeLsum': 25.2136, 'exact_match': 0.0659, 'gen_len': 11.1078}
{'rouge1': 24.705, 'rouge2': 15.9733, 'rougeL': 23.997, 'rougeLsum': 24.0311, 'exact_match': 0.0599, 'gen_len': 11.2156}
{'rouge1': 27.6131, 'rouge2': 18.6775, 'rougeL': 26.6897, 'rougeLsum': 26.6355, 'exact_match': 0.0719, 'gen_len': 11.3114}
{'rouge1': 27.3829, 'rouge2': 18.5588, 'rougeL': 26.5997, 'rougeLsum': 26.5928, 'exact_match': 0.0719, 'gen_len': 11.3353}
{'rouge1': 26.3879, 'rouge2': 17.5285, 'rougeL': 25.7987, 'rougeLsum': 25.7908, 'exact_match': 0.0659, 'gen_len': 11.4012}
{'rouge1': 26.1981, 'rouge2': 17.5281, 'rougeL': 25.6242, 'rougeLsum': 25.618, 'exact_match': 0.0719, 'gen_len': 11.1916}
{'rouge1': 25.0686, 'rouge2': 16.1265, 'rougeL': 24.5185, 'rougeLsum': 24.5416, 'exact_match': 0.0599, 'gen_len': 10.9281}
{'rouge1': 26.7869, 'rouge2': 17.8273, 'rougeL': 26.1269, 'rougeLsum': 26.0952, 'exact_match': 0.0659, 'gen_len': 11.1617}
