{'rouge1': 46.3204, 'rouge2': 38.4572, 'rougeL': 45.5594, 'rougeLsum': 45.5815, 'exact_match': 0.2036, 'gen_len': 12.6048}
{'rouge1': 47.3737, 'rouge2': 40.8865, 'rougeL': 47.1602, 'rougeLsum': 46.9353, 'exact_match': 0.2275, 'gen_len': 10.982}
{'rouge1': 45.6789, 'rouge2': 39.1702, 'rougeL': 45.4895, 'rougeLsum': 45.3037, 'exact_match': 0.2156, 'gen_len': 11.0419}
{'rouge1': 48.7756, 'rouge2': 41.9519, 'rougeL': 48.2188, 'rougeLsum': 48.0391, 'exact_match': 0.2335, 'gen_len': 11.0898}
{'rouge1': 46.0182, 'rouge2': 38.9923, 'rougeL': 45.3981, 'rougeLsum': 45.288, 'exact_match': 0.2096, 'gen_len': 11.1317}
{'rouge1': 47.1487, 'rouge2': 40.4215, 'rougeL': 46.9105, 'rougeLsum': 46.6583, 'exact_match': 0.2036, 'gen_len': 10.7545}
{'rouge1': 46.786, 'rouge2': 40.001, 'rougeL': 46.505, 'rougeLsum': 46.3729, 'exact_match': 0.1976, 'gen_len': 11.1677}
{'rouge1': 47.6368, 'rouge2': 41.7306, 'rougeL': 47.3507, 'rougeLsum': 47.2985, 'exact_match': 0.2216, 'gen_len': 10.976}
{'rouge1': 46.158, 'rouge2': 39.7369, 'rougeL': 45.5657, 'rougeLsum': 45.626, 'exact_match': 0.2036, 'gen_len': 11.0659}
{'rouge1': 46.2278, 'rouge2': 39.529, 'rougeL': 45.8359, 'rougeLsum': 45.6939, 'exact_match': 0.1976, 'gen_len': 11.0719}
{'rouge1': 48.0601, 'rouge2': 41.9272, 'rougeL': 47.8488, 'rougeLsum': 47.5306, 'exact_match': 0.2216, 'gen_len': 11.3713}
{'rouge1': 48.0724, 'rouge2': 42.0032, 'rougeL': 47.9153, 'rougeLsum': 47.6865, 'exact_match': 0.2036, 'gen_len': 10.5569}
{'rouge1': 47.938, 'rouge2': 41.2618, 'rougeL': 47.6668, 'rougeLsum': 47.5239, 'exact_match': 0.2156, 'gen_len': 10.9341}
{'rouge1': 47.8961, 'rouge2': 41.7524, 'rougeL': 47.753, 'rougeLsum': 47.5472, 'exact_match': 0.2036, 'gen_len': 10.8563}
{'rouge1': 46.6111, 'rouge2': 40.0843, 'rougeL': 46.2421, 'rougeLsum': 46.0191, 'exact_match': 0.2156, 'gen_len': 10.7605}
{'rouge1': 48.0356, 'rouge2': 41.5192, 'rougeL': 47.7644, 'rougeLsum': 47.6405, 'exact_match': 0.2096, 'gen_len': 10.9281}
{'rouge1': 47.338, 'rouge2': 40.5533, 'rougeL': 46.9588, 'rougeLsum': 46.8291, 'exact_match': 0.2275, 'gen_len': 10.6347}
{'rouge1': 49.0453, 'rouge2': 42.001, 'rougeL': 48.699, 'rougeLsum': 48.4936, 'exact_match': 0.2335, 'gen_len': 10.9042}
{'rouge1': 48.8438, 'rouge2': 42.5911, 'rougeL': 48.4944, 'rougeLsum': 48.4418, 'exact_match': 0.2335, 'gen_len': 10.9701}
{'rouge1': 47.6364, 'rouge2': 41.0407, 'rougeL': 47.2227, 'rougeLsum': 47.2147, 'exact_match': 0.2275, 'gen_len': 10.7186}
{'rouge1': 47.0255, 'rouge2': 40.7524, 'rougeL': 46.6612, 'rougeLsum': 46.5198, 'exact_match': 0.2096, 'gen_len': 11.0539}
