{'rouge1': 47.2685, 'rouge2': 40.9204, 'rougeL': 46.4658, 'rougeLsum': 46.437, 'exact_match': 0.1737, 'gen_len': 12.515}
{'rouge1': 47.9713, 'rouge2': 40.9809, 'rougeL': 47.1199, 'rougeLsum': 47.0024, 'exact_match': 0.1617, 'gen_len': 11.6287}
{'rouge1': 49.0567, 'rouge2': 42.1477, 'rougeL': 48.3124, 'rougeLsum': 48.3082, 'exact_match': 0.1617, 'gen_len': 11.8982}
{'rouge1': 49.989, 'rouge2': 42.5121, 'rougeL': 49.1572, 'rougeLsum': 49.2053, 'exact_match': 0.1796, 'gen_len': 11.8144}
{'rouge1': 47.862, 'rouge2': 40.4257, 'rougeL': 47.019, 'rougeLsum': 46.9465, 'exact_match': 0.1497, 'gen_len': 11.6587}
{'rouge1': 49.0024, 'rouge2': 42.1005, 'rougeL': 48.0425, 'rougeLsum': 48.136, 'exact_match': 0.1916, 'gen_len': 11.5569}
{'rouge1': 48.3449, 'rouge2': 41.0623, 'rougeL': 47.149, 'rougeLsum': 47.3384, 'exact_match': 0.1916, 'gen_len': 11.3832}
{'rouge1': 49.8012, 'rouge2': 43.4355, 'rougeL': 48.8663, 'rougeLsum': 48.8952, 'exact_match': 0.1976, 'gen_len': 11.6347}
{'rouge1': 45.9248, 'rouge2': 38.8422, 'rougeL': 44.9345, 'rougeLsum': 45.0112, 'exact_match': 0.1557, 'gen_len': 11.5449}
{'rouge1': 47.635, 'rouge2': 40.9629, 'rougeL': 46.6844, 'rougeLsum': 46.7688, 'exact_match': 0.1796, 'gen_len': 11.1856}
{'rouge1': 49.9934, 'rouge2': 43.1982, 'rougeL': 49.0315, 'rougeLsum': 49.1438, 'exact_match': 0.1976, 'gen_len': 11.1198}
{'rouge1': 49.0516, 'rouge2': 42.1281, 'rougeL': 48.0257, 'rougeLsum': 48.164, 'exact_match': 0.1856, 'gen_len': 11.0479}
{'rouge1': 48.0967, 'rouge2': 41.7203, 'rougeL': 47.2818, 'rougeLsum': 47.3354, 'exact_match': 0.1916, 'gen_len': 11.1737}
{'rouge1': 48.6593, 'rouge2': 42.4206, 'rougeL': 47.7007, 'rougeLsum': 47.7344, 'exact_match': 0.1976, 'gen_len': 11.2695}
{'rouge1': 50.2066, 'rouge2': 43.0581, 'rougeL': 49.2071, 'rougeLsum': 49.2903, 'exact_match': 0.1916, 'gen_len': 11.6347}
{'rouge1': 48.159, 'rouge2': 41.8384, 'rougeL': 47.2789, 'rougeLsum': 47.3846, 'exact_match': 0.2036, 'gen_len': 10.8323}
{'rouge1': 49.9082, 'rouge2': 43.1937, 'rougeL': 48.8208, 'rougeLsum': 49.0456, 'exact_match': 0.2096, 'gen_len': 11.2754}
{'rouge1': 51.1129, 'rouge2': 44.3748, 'rougeL': 50.0172, 'rougeLsum': 50.2441, 'exact_match': 0.2096, 'gen_len': 11.4731}
{'rouge1': 49.6191, 'rouge2': 43.5175, 'rougeL': 48.729, 'rougeLsum': 48.8778, 'exact_match': 0.2096, 'gen_len': 11.2635}
{'rouge1': 49.4762, 'rouge2': 42.9085, 'rougeL': 48.4882, 'rougeLsum': 48.5068, 'exact_match': 0.1916, 'gen_len': 11.491}
{'rouge1': 50.7491, 'rouge2': 44.0345, 'rougeL': 49.8726, 'rougeLsum': 49.9584, 'exact_match': 0.2036, 'gen_len': 11.4132}
{'rouge1': 49.0835, 'rouge2': 42.638, 'rougeL': 48.0963, 'rougeLsum': 48.1512, 'exact_match': 0.2036, 'gen_len': 11.3234}
{'rouge1': 50.176, 'rouge2': 43.665, 'rougeL': 49.1899, 'rougeLsum': 49.1651, 'exact_match': 0.2036, 'gen_len': 11.1018}
{'rouge1': 50.3645, 'rouge2': 44.0636, 'rougeL': 49.2297, 'rougeLsum': 49.394, 'exact_match': 0.2096, 'gen_len': 11.4132}
{'rouge1': 50.4476, 'rouge2': 44.151, 'rougeL': 49.4339, 'rougeLsum': 49.594, 'exact_match': 0.2096, 'gen_len': 11.6168}
{'rouge1': 49.0386, 'rouge2': 42.9346, 'rougeL': 48.0898, 'rougeLsum': 48.1881, 'exact_match': 0.1916, 'gen_len': 11.3892}
{'rouge1': 49.4211, 'rouge2': 43.0975, 'rougeL': 48.4926, 'rougeLsum': 48.5916, 'exact_match': 0.2036, 'gen_len': 11.1198}
{'rouge1': 49.4716, 'rouge2': 43.082, 'rougeL': 48.3621, 'rougeLsum': 48.4999, 'exact_match': 0.1976, 'gen_len': 11.4251}
