{'rouge1': 40.9647, 'rouge2': 30.5468, 'rougeL': 39.5834, 'rougeLsum': 39.5281, 'exact_match': 0.1557, 'gen_len': 11.2515}
{'rouge1': 40.3472, 'rouge2': 30.7047, 'rougeL': 39.1859, 'rougeLsum': 39.0903, 'exact_match': 0.1617, 'gen_len': 11.4551}
{'rouge1': 40.3363, 'rouge2': 30.5285, 'rougeL': 39.1354, 'rougeLsum': 39.1194, 'exact_match': 0.1497, 'gen_len': 11.2635}
{'rouge1': 40.0895, 'rouge2': 31.0781, 'rougeL': 39.2495, 'rougeLsum': 39.1796, 'exact_match': 0.1377, 'gen_len': 11.3114}
{'rouge1': 40.0452, 'rouge2': 30.2301, 'rougeL': 39.2132, 'rougeLsum': 39.1494, 'exact_match': 0.1497, 'gen_len': 11.2036}
{'rouge1': 42.5526, 'rouge2': 32.6255, 'rougeL': 41.3168, 'rougeLsum': 41.1064, 'exact_match': 0.1737, 'gen_len': 11.7844}
{'rouge1': 41.6093, 'rouge2': 31.9052, 'rougeL': 40.4694, 'rougeLsum': 40.3244, 'exact_match': 0.1557, 'gen_len': 12.012}
{'rouge1': 41.2739, 'rouge2': 30.8524, 'rougeL': 40.2614, 'rougeLsum': 40.0689, 'exact_match': 0.1557, 'gen_len': 11.5868}
{'rouge1': 42.6762, 'rouge2': 32.616, 'rougeL': 41.6039, 'rougeLsum': 41.5019, 'exact_match': 0.1617, 'gen_len': 12.3413}
{'rouge1': 41.8587, 'rouge2': 31.9838, 'rougeL': 40.7266, 'rougeLsum': 40.6205, 'exact_match': 0.1557, 'gen_len': 11.994}
{'rouge1': 41.5897, 'rouge2': 31.9035, 'rougeL': 40.6593, 'rougeLsum': 40.5035, 'exact_match': 0.1617, 'gen_len': 11.5988}
{'rouge1': 41.764, 'rouge2': 32.4032, 'rougeL': 40.8027, 'rougeLsum': 40.7609, 'exact_match': 0.1737, 'gen_len': 11.1617}
{'rouge1': 42.5546, 'rouge2': 33.0147, 'rougeL': 41.4936, 'rougeLsum': 41.2889, 'exact_match': 0.1737, 'gen_len': 11.4671}
{'rouge1': 41.3655, 'rouge2': 31.7634, 'rougeL': 40.4239, 'rougeLsum': 40.1279, 'exact_match': 0.1737, 'gen_len': 11.9341}
{'rouge1': 42.1427, 'rouge2': 32.1687, 'rougeL': 41.2366, 'rougeLsum': 40.9897, 'exact_match': 0.1677, 'gen_len': 11.4072}
{'rouge1': 39.4229, 'rouge2': 30.1241, 'rougeL': 38.5409, 'rougeLsum': 38.3669, 'exact_match': 0.1557, 'gen_len': 11.4731}
{'rouge1': 40.9972, 'rouge2': 31.1956, 'rougeL': 39.9105, 'rougeLsum': 39.904, 'exact_match': 0.1497, 'gen_len': 11.491}
{'rouge1': 41.7204, 'rouge2': 32.1008, 'rougeL': 40.6614, 'rougeLsum': 40.467, 'exact_match': 0.1677, 'gen_len': 11.9102}
{'rouge1': 42.0029, 'rouge2': 32.0743, 'rougeL': 40.8422, 'rougeLsum': 40.5676, 'exact_match': 0.1677, 'gen_len': 11.7725}
{'rouge1': 41.2654, 'rouge2': 31.2142, 'rougeL': 40.3214, 'rougeLsum': 40.0363, 'exact_match': 0.1437, 'gen_len': 11.7126}
{'rouge1': 40.5075, 'rouge2': 31.2445, 'rougeL': 39.5297, 'rougeLsum': 39.2994, 'exact_match': 0.1497, 'gen_len': 11.2156}
{'rouge1': 39.7515, 'rouge2': 30.5188, 'rougeL': 38.7964, 'rougeLsum': 38.6804, 'exact_match': 0.1437, 'gen_len': 11.2096}
{'rouge1': 40.8372, 'rouge2': 30.8182, 'rougeL': 39.809, 'rougeLsum': 39.608, 'exact_match': 0.1317, 'gen_len': 11.6707}
{'rouge1': 38.3364, 'rouge2': 29.128, 'rougeL': 37.2163, 'rougeLsum': 37.2113, 'exact_match': 0.1317, 'gen_len': 11.7485}
{'rouge1': 39.5433, 'rouge2': 29.5081, 'rougeL': 38.5933, 'rougeLsum': 38.3565, 'exact_match': 0.1377, 'gen_len': 11.7545}
{'rouge1': 40.0689, 'rouge2': 30.4263, 'rougeL': 39.2828, 'rougeLsum': 39.261, 'exact_match': 0.1437, 'gen_len': 11.5988}
{'rouge1': 39.369, 'rouge2': 30.0925, 'rougeL': 38.3881, 'rougeLsum': 38.3552, 'exact_match': 0.1377, 'gen_len': 11.7665}
{'rouge1': 39.9578, 'rouge2': 30.6439, 'rougeL': 38.9302, 'rougeLsum': 38.8831, 'exact_match': 0.1377, 'gen_len': 11.4371}
